Date,Exchange Rate
2017/11/8,113.927
2017/11/9,113.375
2017/11/12,113.686
2017/11/13,113.585
2017/11/14,113.402
2017/11/16,113.028
2017/11/19,112.038
2017/11/20,112.551
2017/11/21,112.341
2017/11/22,111.313
2017/11/23,111.254
2017/11/26,111.671
2017/11/27,111.17
2017/11/28,111.648
2017/11/29,112.002
2017/11/30,112.556
2017/12/3,112.864
2017/12/4,112.499
2017/12/5,112.464
2017/12/6,112.291
2017/12/7,113.173
2017/12/10,113.543
2017/12/11,113.54
2017/12/12,113.545
2017/12/13,112.782
2017/12/14,112.396
2017/12/17,112.716
2017/12/18,112.568
2017/12/19,112.983
2017/12/20,113.241
2017/12/21,113.323
2017/12/24,113.308
2017/12/25,113.303
2017/12/26,113.203
2017/12/27,113.217
2017/12/28,112.875
2017/12/31,112.666
2018/1/1,112.77
2018/1/2,112.244
2018/1/3,112.607
2018/1/4,112.783
2018/1/7,113.154
2018/1/8,113.141
2018/1/9,112.755
2018/1/10,111.444
2018/1/11,111.294
2018/1/14,111.1
2018/1/15,110.581
2018/1/16,110.388
2018/1/17,111.376
2018/1/18,111.026
2018/1/21,110.684
2018/1/22,110.966
2018/1/23,110.107
2018/1/24,109.326
2018/1/25,109.704
2018/1/28,108.639
2018/1/29,108.926
2018/1/30,108.732
2018/1/31,109.201
2018/2/1,109.406
2018/2/4,110.035
2018/2/5,109.095
2018/2/6,109.627
2018/2/7,109.196
2018/2/8,108.529
2018/2/11,108.8
2018/2/12,108.69
2018/2/13,107.764
2018/2/14,106.587
2018/2/15,106.111
2018/2/18,106.261
2018/2/19,106.709
2018/2/20,107.381
2018/2/21,107.555
2018/2/22,106.814
2018/2/25,107.074
2018/2/26,107.069
2018/2/27,107.426
2018/2/28,106.64
2018/3/1,106.163
2018/3/4,105.556
2018/3/5,106.25
2018/3/6,105.537
2018/3/7,106.186
2018/3/8,106.406
2018/3/11,106.891
2018/3/12,106.26
2018/3/13,106.508
2018/3/14,106.155
2018/3/15,106.309
2018/3/18,105.969
2018/3/19,105.996
2018/3/20,106.469
2018/3/21,105.929
2018/3/22,104.968
2018/3/25,104.859
2018/3/26,105.5
2018/3/27,105.493
2018/3/28,106.812
2018/3/29,106.479
2018/4/1,106.312
2018/4/2,105.799
2018/4/3,106.436
2018/4/4,106.774
2018/4/5,107.052
2018/4/8,106.968
2018/4/9,106.749
2018/4/10,107.113
2018/4/11,106.829
2018/4/12,107.222
2018/4/15,107.498
2018/4/16,107.046
2018/4/17,107.016
2018/4/18,107.346
2018/4/19,107.432
2018/4/22,107.869
2018/4/23,108.761
2018/4/24,108.803
2018/4/25,109.364
2018/4/26,109.3
2018/4/29,109.098
2018/4/30,109.323
2018/5/1,109.872
2018/5/2,109.827
2018/5/3,109.096
2018/5/6,109.146
2018/5/7,108.943
2018/5/8,109.024
2018/5/9,109.847
2018/5/10,109.436
2018/5/13,109.338
2018/5/14,109.731
2018/5/15,110.297
2018/5/16,110.359
2018/5/17,110.828
2018/5/20,110.88
2018/5/21,110.978
2018/5/22,110.726
2018/5/23,109.869
2018/5/24,109.312
2018/5/27,109.623
2018/5/28,109.389
2018/5/29,108.394
2018/5/30,108.712
2018/5/31,108.749
2018/6/3,109.598
2018/6/4,109.963
2018/6/5,109.859
2018/6/6,110.125
2018/6/7,109.694
2018/6/10,109.443
2018/6/11,110.386
2018/6/12,110.452
2018/6/13,110.242
2018/6/14,110.645
2018/6/17,110.617
2018/6/18,110.138
2018/6/19,110.071
2018/6/20,110.352
2018/6/21,109.952
2018/6/24,109.937
2018/6/25,109.643
2018/6/26,110.097
2018/6/27,110.215
2018/6/28,110.486
2018/7/1,110.71
2018/7/2,110.871
2018/7/3,110.408
2018/7/4,110.502
2018/7/5,110.579
2018/7/8,110.422
2018/7/9,110.953
2018/7/10,110.831
2018/7/11,111.958
2018/7/12,112.665
2018/7/15,112.399
2018/7/16,112.374
2018/7/17,113.012
2018/7/18,112.791
2018/7/19,112.363
2018/7/22,111.053
2018/7/23,111.46
2018/7/24,111.241
2018/7/25,110.845
2018/7/26,111.146
2018/7/29,110.934
2018/7/30,110.994
2018/7/31,111.808
2018/8/1,111.62
2018/8/2,111.69
2018/8/5,111.234
2018/8/6,111.34
2018/8/7,111.345
2018/8/8,110.892
2018/8/9,111.091
2018/8/12,110.629
2018/8/13,110.661
2018/8/14,111.246
2018/8/15,110.576
2018/8/16,111.004
2018/8/19,110.475
2018/8/20,109.948
2018/8/21,110.134
2018/8/22,110.588
2018/8/23,111.367
2018/8/26,111.282
2018/8/27,111.137
2018/8/28,111.162
2018/8/29,111.712
2018/8/30,110.999
2018/9/2,111.144
2018/9/3,111.088
2018/9/4,111.461
2018/9/5,111.449
2018/9/6,110.495
2018/9/9,110.92
2018/9/10,111.148
2018/9/11,111.607
2018/9/12,111.22
2018/9/13,112.012
2018/9/16,111.953
2018/9/17,111.69
2018/9/18,112.277
2018/9/19,112.317
2018/9/20,112.495
2018/9/23,112.524
2018/9/24,112.786
2018/9/25,112.969
2018/9/26,112.704
2018/9/27,113.357
2018/9/30,113.796
2018/10/1,113.946
2018/10/2,113.577
2018/10/3,114.486
2018/10/4,113.894
2018/10/7,113.715
2018/10/8,113.097
2018/10/9,112.998
2018/10/10,112.092
2018/10/11,112.08
2018/10/14,112.192
2018/10/15,111.841
2018/10/16,112.342
2018/10/17,112.628
2018/10/18,112.185
2018/10/21,112.48
2018/10/22,112.757
2018/10/23,112.444
2018/10/24,112.012
2018/10/25,112.35
2018/10/28,111.908
